Date,Value,Comment,Comment
1992-01-01T00:00:00.000+02:00,12.3,Historical data not yet verfied,
1991-12-01T00:00:00.000+02:00,14.5,Historical data not yet verfied,
1991-11-01T00:00:00.000+02:00,37,Historical data not yet verfied,
1991-09-01T00:00:00.000+02:00,245.2,Historical data not yet verfied,
1991-08-01T00:00:00.000+02:00,203,Historical data not yet verfied,
1991-07-01T00:00:00.000+02:00,412.3,Historical data not yet verfied,
1991-06-01T00:00:00.000+02:00,284.2,Historical data not yet verfied,
1991-05-01T00:00:00.000+02:00,186.8,Historical data not yet verfied,
1991-04-01T00:00:00.000+02:00,33.9,Historical data not yet verfied,
1991-03-01T00:00:00.000+02:00,19.7,Historical data not yet verfied,
1991-02-01T00:00:00.000+02:00,20.3,Historical data not yet verfied,
1991-01-01T00:00:00.000+02:00,49.2,Historical data not yet verfied,
1990-12-01T00:00:00.000+02:00,37.9,Historical data not yet verfied,
1990-11-01T00:00:00.000+02:00,31.6,Historical data not yet verfied,
1990-10-01T00:00:00.000+02:00,17.7,Historical data not yet verfied,
1990-09-01T00:00:00.000+02:00,74.5,Historical data not yet verfied,
1990-08-01T00:00:00.000+02:00,174,Historical data not yet verfied,
1990-07-01T00:00:00.000+02:00,340,Historical data not yet verfied,
1990-06-01T00:00:00.000+02:00,178.7,Historical data not yet verfied,
1990-05-01T00:00:00.000+02:00,95.5,Historical data not yet verfied,
1990-04-01T00:00:00.000+02:00,365,Historical data not yet verfied,
1990-03-01T00:00:00.000+02:00,9.6,Historical data not yet verfied,
1990-02-01T00:00:00.000+02:00,88.5,Historical data not yet verfied,
1990-01-01T00:00:00.000+02:00,30.1,Historical data not yet verfied,
1989-12-01T00:00:00.000+02:00,26.4,Historical data not yet verfied,
1989-11-01T00:00:00.000+02:00,88,Historical data not yet verfied,
1989-10-01T00:00:00.000+02:00,100,Historical data not yet verfied,
1989-09-01T00:00:00.000+02:00,198.9,Historical data not yet verfied,
1989-08-01T00:00:00.000+02:00,220,Historical data not yet verfied,
1989-07-01T00:00:00.000+02:00,275.4,Historical data not yet verfied,
1989-06-01T00:00:00.000+02:00,142,Historical data not yet verfied,
1989-05-01T00:00:00.000+02:00,166.5,Historical data not yet verfied,
1989-04-01T00:00:00.000+02:00,155.3,Historical data not yet verfied,
1989-03-01T00:00:00.000+02:00,128.9,Historical data not yet verfied,
1989-02-01T00:00:00.000+02:00,21,Historical data not yet verfied,
1989-01-01T00:00:00.000+02:00,0,Historical data not yet verfied,
1988-12-01T00:00:00.000+02:00,51.6,Historical data not yet verfied,
