site_name,lat,long,Area(km2),Forest typ,C,rvalue_1
107,35.059789000000000,-83.430554000000000,9.199999999999990,BF,S,1312.000000000000000
118,35.077777779999900,-83.433333329999900,4.240000000000000,MF,S,1312.000000000000000
113,35.077777779999900,-83.433333329999900,0.240000000000000,BF,S,1312.000000000000000
114,35.077777779999900,-83.433333329999900,0.220000000000000,BF,S,1312.000000000000000
109,35.077777779999900,-83.433333329999900,0.560000000000000,CF,S,1312.000000000000000
106,35.077777779999900,-83.433333329999900,0.682000000000000,BF,S,1312.000000000000000
108,35.077777779999900,-83.433333329999900,0.856000000000000,BF,S,1312.000000000000000
105,35.100000000000000,-83.716667000000000,1.400000000000000,BF,S,1299.000000000000000
75,35.139167000000000,77.530277999999900,0.050000000000000,BF,S,512.000000000000000
199,35.235555560000000,-120.471388899999000,0.041500000000000,CF,S,1653.000000000000000
242,35.678013000000000,-88.355614000000000,579.000000000000000,MF,S,1408.000000000000000
224,35.683332999999900,107.500000000000000,0.430000000000000,BF,S,1181.000000000000000
170,36.177914999999900,-78.808556999999900,8.210000000000000,CF,S,1399.000000000000000
274,36.177914999999900,116.003923099999000,8.289999999999990,CF,S,1443.000000000000000
168,36.199168999999900,-78.892207999999900,3.590000000000000,CF,S,1392.000000000000000
169,36.199168999999900,-78.892207999999900,10.590000000000000,CF,S,1392.000000000000000
171,36.199168999999900,-78.808556999999900,0.680000000000000,CF,S,1398.000000000000000
294,36.331859000000000,-83.920388000000000,0.500000000000000,CF,S,1240.000000000000000
90,36.402222219999900,-120.432500000000000,3.030000000000000,MF,S,2070.000000000000000
127,36.760030999999900,-97.425853000000000,0.600000000000000,BF,S,1746.000000000000000
270,36.850000000000000,139.016666700000000,296.000000000000000,BF,S,874.000000000000000
120,37.448998000000000,-121.630538999999000,0.030000000000000,MF,S,1731.000000000000000
121,37.448998000000000,-121.630538999999000,1.900000000000000,BF,S,1731.000000000000000
291,37.766666669999900,-100.883333300000000,12.000000000000000,MF,S,1909.000000000000000
292,37.773440999999900,-106.830938000000000,0.170000000000000,BF,S,1240.000000000000000
92,38.583333000000000,-109.250000000000000,0.960000000000000,BF,S,1568.000000000000000
243,38.983333000000000,121.233333000000000,0.630000000000000,BF,S,
236,38.983333000000000,121.233333000000000,0.040000000000000,BF,S,
139,39.054245999999900,-79.670000999999900,0.730000000000000,BF,S,1094.000000000000000
137,39.054245999999900,-79.670000999999900,0.305000000000000,BF,S,1094.000000000000000
144,39.054245999999900,-79.670000999999900,0.390000000000000,BF,S,1094.000000000000000
134,39.054245999999900,-79.670000999999900,0.340000000000000,BF,S,1094.000000000000000
145,39.054245999999900,-79.670000999999900,0.300000000000000,MF,S,1094.000000000000000
146,39.054245999999900,-79.670000999999900,0.150000000000000,BF,S,1094.000000000000000
147,39.054245999999900,-79.670000999999900,0.041400000000000,MF,S,1094.000000000000000
148,39.054245999999900,-79.670000999999900,0.082600000000000,MF,S,1094.000000000000000
149,39.054245999999900,-79.670000999999900,7.020000000000000,BF,S,1094.000000000000000
143,39.063032999999900,-79.668156999999900,0.300000000000000,BF,S,1093.000000000000000
142,39.063032999999900,-79.668156999999900,0.340000000000000,BF,S,1093.000000000000000
261,39.344346639999900,-123.740656400000000,0.340000000000000,BF,S,1159.000000000000000
96,39.478938999999900,-111.991207000000000,0.340000000000000,BF,S,1815.000000000000000
264,39.802075000000000,-105.736538999999000,0.360000000000000,BF,S,1098.000000000000000
158,39.845684910000000,-105.923638100000000,0.360000000000000,BF,S,1166.000000000000000
223,39.845684910000000,-105.923638100000000,0.150000000000000,MF,S,1166.000000000000000
126,39.845684910000000,-105.923638100000000,0.340000000000000,MF,S,1166.000000000000000
222,39.845684910000000,-105.923638100000000,0.360000000000000,MF,S,1166.000000000000000
151,39.845684910000000,-105.923638100000000,0.220000000000000,MF,S,1166.000000000000000
152,39.845684910000000,-105.923638100000000,0.240000000000000,MF,S,1166.000000000000000
153,39.904128999999900,-105.881968999999000,1.000000000000000,CF,S,1247.000000000000000
265,39.904361000000000,-105.881742000000000,3.640000000000000,CF,S,1247.000000000000000
157,39.904361000000000,-105.881742000000000,1.500000000000000,CF,S,1247.000000000000000
156,39.904361000000000,-105.881742000000000,3.670000000000000,CF,S,1247.000000000000000
104,40.365833000000000,81.804167000000000,3.080000000000000,CF,S,1717.000000000000000
287,40.399999999999900,23.500000000000000,8.699999999999990,CF,S,1282.000000000000000
288,40.399999999999900,23.500000000000000,0.890000000000000,CF,S,1282.000000000000000
289,40.399999999999900,23.500000000000000,0.030000000000000,BF,S,1282.000000000000000
290,40.399999999999900,23.500000000000000,0.030000000000000,BF,S,1282.000000000000000
196,40.627558999999900,-78.034181000000000,0.100000000000000,BF,S,1105.000000000000000
307,40.666666999999900,-77.933333000000000,0.057400000000000,CF,S,1124.000000000000000
308,40.666666999999900,-77.933333000000000,0.040800000000000,CF,S,1124.000000000000000
309,40.666666999999900,-77.933333000000000,2.480000000000000,BF,S,1124.000000000000000
193,40.680771999999900,8.225679000000000,0.800000000000000,BF,S,1393.000000000000000
299,41.000000000000000,28.000000000000000,0.318000000000000,BF,S,
285,41.857247000000000,-8.424226000000000,1.810000000000000,MF,S,1167.000000000000000
249,42.025086999999900,1.381851000000000,1.800000000000000,BF,S,1392.000000000000000
102,42.173830140000000,-75.409262269999900,0.650000000000000,BF,S,973.000000000000000
150,42.254702999999900,0.975860000000000,2.009000000000000,BF,S,1438.000000000000000
129,42.283299999999900,-72.349999999999900,1.320000000000000,BF,S,1067.000000000000000
192,42.338888890000000,1.685277778000000,0.775000000000000,BF,S,1221.000000000000000
231,42.338888890000000,1.685277778000000,0.710000000000000,CF,S,1221.000000000000000
95,42.531111109999900,-75.425277780000000,1.000000000000000,BF,S,974.000000000000000
130,42.548178000000000,1.158235000000000,1.000000000000000,CF,S,1239.000000000000000
259,42.767222220000000,-76.018611109999900,10.000000000000000,CF,S,950.000000000000000
250,43.066667000000000,6.050000000000000,0.590000000000000,BF,S,
179,43.859166000000000,-71.731251999999900,0.090000000000000,BF,S,937.000000000000000
180,43.859166000000000,-71.731251999999900,0.440000000000000,BF,S,937.000000000000000
310,43.954847219999900,-71.722836110000000,0.140000000000000,BF,S,931.000000000000000
119,44.053947999999900,-123.269766000000000,0.160000000000000,BF,S,1179.000000000000000
172,44.231366999999900,-122.176668000000000,0.160000000000000,BF,S,1219.000000000000000
174,44.231366999999900,-122.176668000000000,0.350000000000000,BF,S,1219.000000000000000
173,44.232295999999900,-122.176203999999000,6.940000000000000,BF,S,1219.000000000000000
175,44.232295999999900,-122.176203999999000,0.410000000000000,CF,S,1219.000000000000000
176,44.232295999999900,-122.176203999999000,2.700000000000000,CF,S,1219.000000000000000
154,44.294972999999900,-122.636921000000000,0.410000000000000,CF,S,1193.000000000000000
155,44.294972999999900,-122.636921000000000,2.890000000000000,CF,S,1193.000000000000000
63,44.533332999999900,-123.883332999999000,2.890000000000000,CF,S,934.000000000000000
227,44.533332999999900,-123.883332999999000,2.000000000000000,BF,S,934.000000000000000
62,44.549999999999900,-123.849999999999000,0.260000000000000,BF,S,949.000000000000000
80,45.716851869999900,-118.155303300000000,0.810000000000000,CF,S,1197.000000000000000
81,45.716851869999900,-118.155303300000000,12.000000000000000,BF,S,1197.000000000000000
82,45.716851869999900,-118.155303300000000,0.630000000000000,CF,S,1197.000000000000000
209,47.533332999999900,-93.466667000000000,1.950000000000000,CF,S,900.000000000000000
86,47.799999999999900,12.433332999999900,0.796000000000000,BF,S,859.000000000000000
87,47.799999999999900,12.433332999999900,2.251000000000000,BF,S,859.000000000000000
204,48.549999999999900,-81.049999999999900,0.925000000000000,BF,S,771.000000000000000
202,49.573841930000000,-114.567104799999000,1.275000000000000,BF,S,911.000000000000000
262,49.582549129999900,-114.577529600000000,1.285000000000000,BF,S,922.000000000000000
229,49.591598390000000,-114.592018300000000,1.400000000000000,BF,S,926.000000000000000
266,49.599958870000000,-114.612161099999000,0.554000000000000,CF,S,937.000000000000000
281,49.649999999999900,119.400000000000000,0.553000000000000,CF,S,959.000000000000000
282,49.649999999999900,119.400000000000000,0.553000000000000,CF,S,959.000000000000000
88,49.692988999999900,-120.011313999999000,0.554000000000000,CF,S,924.000000000000000
166,52.467613000000000,-3.725406000000000,0.940000000000000,BF,S,598.000000000000000
177,52.467613000000000,-3.725406000000000,5.000000000000000,CF,S,598.000000000000000
258,52.472088270000000,-3.716747794000000,5.000000000000000,CF,S,600.000000000000000
272,52.472088270000000,-3.716747794000000,40.000000000000000,BF,S,600.000000000000000
71,55.110750000000000,-3.629414000000000,80.650000000000000,BF,S,683.000000000000000
101,55.592419999999900,-3.890822000000000,293.000000000000000,MF,S,689.000000000000000
70,56.347392999999900,-4.469782000000000,249.000000000000000,CF,S,536.000000000000000
84,56.632777779999900,111.771388900000000,292.910000000000000,BF,S,532.000000000000000
186,63.850000000000000,28.966667000000000,31.469999999999900,BF,S,598.000000000000000
190,63.866667000000000,28.649999999999900,149.430000000000000,BF,S,600.000000000000000
284,63.866667000000000,28.649999999999900,2.700000000000000,BF,S,600.000000000000000
